study,treat,y,n
1,1,7,15
2,1,8,19
3,1,5,34
4,1,7,36
5,1,3,12
6,1,4,7
7,1,4,17
8,1,1,16
9,1,3,14
10,1,2,38
11,1,6,12
12,1,2,7
13,1,9,21
14,1,7,21
15,1,3,25
16,1,4,11
17,1,2,10
18,1,1,31
19,1,4,28
20,1,7,43
21,1,6,40
22,1,4,18
23,1,14,68
24,1,6,21
25,1,0,6
26,1,1,10
27,1,5,17
28,1,0,10
29,1,0,22
30,1,2,18
31,1,1,15
32,1,8,24
33,1,6,12
34,1,0,20
35,1,4,17
36,1,10,40
37,1,3,16
38,1,4,34
39,1,7,38
40,1,0,34
41,1,0,9
1,0,11,13
2,0,8,16
3,0,4,39
4,0,4,31
5,0,0,12
6,0,4,4
7,0,13,24
8,0,13,16
9,0,7,22
10,0,12,32
11,0,8,8
12,0,7,9
13,0,7,24
14,0,5,25
15,0,11,32
16,0,6,10
17,0,8,10
18,0,4,27
19,0,15,31
20,0,16,43
21,0,13,21
22,0,5,39
23,0,13,74
24,0,8,21
25,0,6,6
26,0,5,15
27,0,5,15
28,0,12,14
29,0,8,24
30,0,10,21
31,0,7,13
32,0,15,27
33,0,7,9
34,0,5,23
35,0,2,16
36,0,12,20
37,0,2,16
38,0,5,19
39,0,15,37
40,0,34,34
41,0,0,16
