"food","size","gender","lake"
"fish","<2.3","m","hancock"
"fish","<2.3","m","hancock"
"fish","<2.3","m","hancock"
"fish","<2.3","m","hancock"
"fish","<2.3","m","hancock"
"fish","<2.3","m","hancock"
"fish","<2.3","m","hancock"
"invert","<2.3","m","hancock"
"other","<2.3","m","hancock"
"other","<2.3","m","hancock"
"other","<2.3","m","hancock"
"other","<2.3","m","hancock"
"other","<2.3","m","hancock"
"fish",">2.3","m","hancock"
"fish",">2.3","m","hancock"
"fish",">2.3","m","hancock"
"fish",">2.3","m","hancock"
"bird",">2.3","m","hancock"
"other",">2.3","m","hancock"
"other",">2.3","m","hancock"
"fish","<2.3","f","hancock"
"fish","<2.3","f","hancock"
"fish","<2.3","f","hancock"
"fish","<2.3","f","hancock"
"fish","<2.3","f","hancock"
"fish","<2.3","f","hancock"
"fish","<2.3","f","hancock"
"fish","<2.3","f","hancock"
"fish","<2.3","f","hancock"
"fish","<2.3","f","hancock"
"fish","<2.3","f","hancock"
"fish","<2.3","f","hancock"
"fish","<2.3","f","hancock"
"fish","<2.3","f","hancock"
"fish","<2.3","f","hancock"
"fish","<2.3","f","hancock"
"invert","<2.3","f","hancock"
"invert","<2.3","f","hancock"
"invert","<2.3","f","hancock"
"rep","<2.3","f","hancock"
"rep","<2.3","f","hancock"
"bird","<2.3","f","hancock"
"bird","<2.3","f","hancock"
"other","<2.3","f","hancock"
"other","<2.3","f","hancock"
"other","<2.3","f","hancock"
"fish",">2.3","f","hancock"
"fish",">2.3","f","hancock"
"fish",">2.3","f","hancock"
"rep",">2.3","f","hancock"
"bird",">2.3","f","hancock"
"bird",">2.3","f","hancock"
"other",">2.3","f","hancock"
"other",">2.3","f","hancock"
"other",">2.3","f","hancock"
"fish","<2.3","m","oklawaha"
"fish","<2.3","m","oklawaha"
"invert","<2.3","m","oklawaha"
"invert","<2.3","m","oklawaha"
"other","<2.3","m","oklawaha"
"fish",">2.3","m","oklawaha"
"fish",">2.3","m","oklawaha"
